doc,rank,term,count
physics_chapters/chapter_08.md,11,rocket,61
physics_chapters/chapter_08.md,12,collisions,57
physics_chapters/chapter_08.md,13,conservation,55
physics_chapters/chapter_08.md,14,speed,52
physics_chapters/chapter_08.md,15,direction,52
physics_chapters/chapter_08.md,16,car,48
physics_chapters/chapter_08.md,17,b,48
physics_chapters/chapter_08.md,18,object,47
physics_chapters/chapter_08.md,19,calculate,46
physics_chapters/chapter_08.md,20,conserved,46
physics_chapters/chapter_09.md,1,force,214
physics_chapters/chapter_09.md,2,equilibrium,130
physics_chapters/chapter_09.md,3,figure,128
physics_chapters/chapter_09.md,4,pivot,96
physics_chapters/chapter_09.md,5,torque,89
physics_chapters/chapter_09.md,6,forces,86
physics_chapters/chapter_09.md,7,point,75
physics_chapters/chapter_09.md,8,system,60
physics_chapters/chapter_09.md,9,muscles,49
physics_chapters/chapter_09.md,10,condition,46
physics_chapters/chapter_09.md,11,lever,43
physics_chapters/chapter_09.md,12,b,43
physics_chapters/chapter_09.md,13,mass,43
physics_chapters/chapter_09.md,14,exerted,42
physics_chapters/chapter_09.md,15,weight,42
physics_chapters/chapter_09.md,16,body,41
physics_chapters/chapter_09.md,17,shown,40
physics_chapters/chapter_09.md,18,direction,39
physics_chapters/chapter_09.md,19,example,38
physics_chapters/chapter_09.md,20,second,38
physics_chapters/chapter_10.md,1,angular,317
physics_chapters/chapter_10.md,2,energy,187
physics_chapters/chapter_10.md,3,rotational,179
physics_chapters/chapter_10.md,4,momentum,155
physics_chapters/chapter_10.md,5,acceleration,142
physics_chapters/chapter_10.md,6,velocity,128
physics_chapters/chapter_10.md,7,kinetic,117
physics_chapters/chapter_10.md,8,motion,101
physics_chapters/chapter_10.md,9,figure,100
physics_chapters/chapter_10.md,10,torque,99
physics_chapters/chapter_10.md,11,force,95
physics_chapters/chapter_10.md,12,inertia,93
physics_chapters/chapter_10.md,13,moment,75
physics_chapters/chapter_10.md,14,direction,71
physics_chapters/chapter_10.md,15,mass,70
physics_chapters/chapter_10.md,16,linear,68
physics_chapters/chapter_10.md,17,b,63
physics_chapters/chapter_10.md,18,equation,62
physics_chapters/chapter_10.md,19,example,59
physics_chapters/chapter_10.md,20,radius,56
physics_chapters/chapter_11.md,1,pressure,482
physics_chapters/chapter_11.md,2,force,210
physics_chapters/chapter_11.md,3,water,197
physics_chapters/chapter_11.md,4,fluid,191
physics_chapters/chapter_11.md,5,density,155
physics_chapters/chapter_11.md,6,surface,139
physics_chapters/chapter_11.md,7,figure,104
physics_chapters/chapter_11.md,8,weight,98
physics_chapters/chapter_11.md,9,tension,78
physics_chapters/chapter_11.md,10,blood,78
physics_chapters/chapter_11.md,11,forces,77
physics_chapters/chapter_11.md,12,object,67
physics_chapters/chapter_11.md,13,volume,66
physics_chapters/chapter_11.md,14,mass,64
physics_chapters/chapter_11.md,15,air,64
physics_chapters/chapter_11.md,16,area,63
physics_chapters/chapter_11.md,17,gauge,60
physics_chapters/chapter_11.md,18,atmospheric,57
